iter	Passed	Remaining
164	57246	289700
165	57567	289225
166	57875	288685
167	58202	288241
168	58571	288004
169	58942	287775
170	59335	287656
171	59685	287323
172	60024	286936
173	60346	286471
174	60670	286016
175	60973	285464
176	61309	285070
177	61656	284730
178	61983	284293
179	62314	283877
180	62667	283560
181	62977	283051
182	63295	282581
183	63599	282051
184	63928	281631
185	64248	281174
186	64609	280897
187	64940	280485
188	65287	280147
189	65622	279759
190	65958	279375
191	66290	278973
192	66652	278698
193	66978	278272
194	67313	277885
195	67654	277523
196	67986	277124
197	68319	276730
198	68675	276426
199	68993	275972
200	69305	275498
201	69629	275069
202	69959	274668
203	70293	274283
204	70660	274026
205	70993	273634
206	71323	273235
207	71651	272827
208	71989	272456
209	72311	272029
210	72632	271596
211	72942	271127
212	73273	270732
213	73602	270332
214	73917	269885
215	74258	269530
216	74634	269303
217	75042	269190
218	75435	269018
219	75869	268991
220	76238	268732
221	76619	268512
222	77003	268305
223	77383	268077
224	77783	267919
225	78178	267742
226	78583	267597
227	78935	267272
228	79302	266997
229	79697	266812
230	80050	266489
231	80364	266034
232	80697	265643
233	81022	265227
234	81357	264845
235	81729	264580
236	82128	264404
237	82510	264171
238	82948	264115
239	83302	263792
240	83632	263389
241	83977	263038
242	84314	262657
243	84651	262281
244	85006	261957
245	85387	261717
246	85740	261385
247	86080	261018
248	86433	260688
249	86775	260327
250	87101	259914
251	87442	259550
252	87786	259196
253	88137	258860
254	88488	258526
255	88839	258190
256	89176	257815
257	89511	257432
258	89855	257077
259	90202	256730
260	90552	256391
261	90895	256034
262	91239	255678
263	91591	255345
264	91943	255012
265	92278	254633
266	92623	254279
267	92994	253999
268	93335	253635
269	93667	253249
270	93993	252846
271	94334	252482
272	94698	252182
273	95059	251871
274	95413	251544
275	95761	251201
276	96107	250849
277	96448	250489
278	96788	250124
279	97137	249783
280	97472	249405
281	97818	249055
282	98159	248693
283	98508	248352
284	98861	248020
285	99210	247679
286	99556	247330
287	99896	246966
288	100252	246640
289	100599	246294
290	100937	245927
291	101282	245575
292	101620	245206
293	101963	244849
294	102298	244476
295	102641	244121
296	103026	243863
297	103349	243461
298	103706	243137
299	104060	242808
300	104395	242433
301	104742	242087
302	105079	241718
303	105433	241388
304	105788	241058
305	106139	240721
306	106490	240383
307	106834	240029
308	107173	239667
309	107508	239292
310	107844	238923
311	108176	238542
312	108513	238174
313	108849	237805
314	109191	237447
315	109530	237085
316	109872	236727
317	110208	236359
318	110537	235974
319	110880	235620
320	111236	235294
321	111571	234923
322	111915	234571
323	112257	234216
324	112597	233856
325	112939	233500
326	113286	233155
327	113629	232802
328	113959	232421
329	114321	232107
330	114657	231740
331	114994	231373
332	115336	231019
333	115709	230725
334	116061	230390
335	116406	230040
336	116730	229651
337	117065	229282
338	117424	228960
339	117768	228608
340	118104	228242
341	118437	227870
342	118792	227540
343	119153	227222
344	119527	226929
345	119912	226654
346	120250	226291
347	120575	225905
348	120908	225533
349	121225	225133
350	121540	224727
351	121857	224328
352	122201	223977
353	122519	223580
354	122839	223187
355	123141	222761
356	123476	222396
357	123804	222018
358	124109	221599
359	124426	221203
360	124759	220834
361	125070	220428
362	125424	220097
363	125830	219856
364	126263	219663
365	126642	219375
366	126988	219029
367	127330	218676
368	127687	218349
369	128017	217976
370	128406	217702
371	128805	217446
372	129215	217206
373	129599	216922
374	129934	216558
375	130351	216328
376	130681	215953
377	131025	215602
378	131351	215222
379	131683	214851
380	132009	214471
381	132337	214095
382	132651	213697
383	132978	213319
384	133310	212950
385	133637	212573
386	133955	212182
387	134294	211824
388	134609	211429
389	134938	211058
390	135273	210694
391	135639	210379
392	135993	210045
393	136352	209719
394	136702	209380
395	137050	209036
396	137393	208685
397	137736	208335
398	138068	207967
399	138399	207598
400	138748	207257
401	139099	206919
402	139432	206553
403	139783	206215
404	140129	205868
405	140464	205506
406	140799	205145
407	141158	204818
408	141512	204483
409	141843	204116
410	142199	203784
411	142539	203429
412	142882	203080
413	143228	202733
414	143608	202436
415	143964	202103
416	144301	201745
417	144664	201422
418	145022	201093
419	145361	200737
420	145673	200343
421	145995	199965
422	146306	199572
423	146635	199202
424	146965	198835
425	147315	198495
426	147648	198132
427	147967	197751
428	148297	197384
429	148651	197050
430	148974	196673
431	149291	196291
432	149603	195900
433	149929	195530
434	150264	195170
435	150583	194791
436	150908	194419
437	151224	194036
438	151556	193674
439	151888	193312
440	152202	192927
441	152535	192567
442	152854	192189
443	153175	191814
444	153489	191431
445	153821	191069
446	154145	190699
447	154473	190333
448	154804	189971
449	155127	189600
450	155447	189225
451	155764	188847
452	156083	188471
453	156405	188100
454	156739	187742
455	157054	187363
456	157362	186975
457	157687	186607
458	158010	186238
459	158325	185860
460	158650	185494
461	158964	185115
462	159274	184731
463	159580	184343
464	159895	183965
465	160224	183605
466	160549	183239
467	160897	182900
468	161229	182543
469	161550	182173
470	161867	181800
471	162166	181406
472	162479	181028
473	162795	180655
474	163142	180315
475	163472	179957
476	163808	179605
477	164119	179226
478	164427	178845
479	164754	178483
480	165068	178108
481	165388	177740
482	165709	177374
483	166035	177012
484	166355	176645
485	166668	176270
486	166984	175899
487	167290	175518
488	167611	175152
489	167930	174784
490	168254	174422
491	168578	174060
492	168897	173693
493	169204	173314
494	169530	172955
495	169843	172583
496	170154	172208
497	170471	171840
498	170798	171483
499	171102	171102
500	171429	170744
501	171756	170387
502	172072	170020
503	172425	169688
504	172752	169332
505	173082	168978
506	173404	168616
507	173715	168243
508	174038	167884
509	174347	167509
510	174658	167139
511	174985	166782
512	175301	166417
513	175610	166044
514	175925	165677
515	176231	165302
516	176555	164944
517	176878	164585
518	177197	164223
519	177491	163838
520	177800	163467
521	178117	163103
522	178436	162742
523	178741	162368
524	179055	162003
525	179375	161642
526	179682	161271
527	179994	160904
528	180311	160541
529	180622	160174
530	180942	159815
531	181269	159462
532	181591	159105
533	181906	158742
534	182217	158375
535	182518	158001
536	182842	157646
537	183179	157303
538	183523	156965
539	183873	156633
540	184244	156318
541	184645	156029
542	184991	155692
543	185354	155370
544	185692	155027
545	186051	154702
546	186373	154345
547	186709	154001
548	187030	153643
549	187351	153287
550	187676	152933
551	188008	152586
552	188345	152242
553	188666	151886
554	188992	151534
555	189329	151191
556	189659	150841
557	189982	150487
558	190317	150142
559	190671	149813
560	191001	149464
561	191316	149104
562	191640	148750
563	191938	148378
564	192270	148030
565	192586	147672
566	192901	147312
567	193202	146942
568	193519	146584
569	193857	146243
570	194180	145890
571	194507	145540
572	194847	145200
573	195179	144854
574	195495	144496
575	195826	144150
576	196154	143801
577	196464	143439
578	196777	143080
579	197097	142725
580	197426	142378
581	197756	142031
582	198070	141672
583	198393	141321
584	198715	140968
585	199022	140606
586	199348	140257
587	199659	139897
588	199969	139537
589	200295	139188
590	200662	138868
591	200975	138510
592	201277	138145
593	201606	137798
594	201918	137440
595	202250	137095
596	202579	136749
597	202908	136403
598	203255	136069
599	203607	135738
600	203921	135382
601	204239	135029
602	204565	134680
603	204881	134326
604	205214	133983
605	205598	133672
606	205962	133349
607	206371	133055
608	206793	132768
609	207221	132485
610	207688	132227
611	208060	131907
612	208392	131562
613	208748	131232
614	209094	130896
615	209428	130553
616	209780	130220
617	210109	129873
618	210440	129527
619	210784	129190
620	211108	128841
621	211452	128503
622	211791	128162
623	212170	127846
624	212500	127500
625	212856	127169
626	213196	126829
627	213528	126485
628	213872	126147
629	214203	125801
630	214552	125467
631	214913	125139
632	215278	124813
633	215636	124484
634	215967	124138
635	216294	123791
636	216638	123453
637	216982	123115
638	217316	122771
639	217700	122456
640	218052	122122
641	218410	121792
642	218752	121453
643	219105	121120
644	219433	120773
645	219774	120433
646	220126	120100
647	220449	119750
648	220814	119423
649	221160	119086
650	221513	118752
651	221876	118425
652	222219	118085
653	222565	117748
654	222905	117408
655	223233	117061
656	223573	116720
657	223889	116368
658	224229	116027
659	224636	115721
660	224986	115386
661	225327	115046
662	225671	114707
663	226015	114369
664	226352	114027
665	226706	113693
666	227038	113349
667	227392	113015
668	227747	112682
669	228138	112366
670	228589	112080
671	228993	111770
672	229388	111456
673	229748	111124
674	230105	110791
675	230484	110468
676	230854	110141
677	231181	109794
678	231498	109441
679	231834	109098
680	232161	108751
681	232522	108419
682	232853	108073
683	233256	107761
684	233643	107442
685	233997	107106
686	234320	106757
687	234660	106415
688	234992	106070
689	235338	105731
690	235713	105406
691	236062	105068
692	236405	104727
693	236749	104387
694	237113	104057
695	237453	103715
696	237777	103366
697	238141	103035
698	238476	102691
699	238822	102352
700	239159	102009
701	239525	101678
702	239880	101343
703	240233	101007
704	240584	100670
705	240912	100323
706	241240	99976
707	241580	99635
708	241928	99296
709	242264	98953
710	242601	98610
711	242957	98275
712	243309	97938
713	243641	97592
714	244000	97259
715	244334	96914
716	244701	96583
717	245051	96245
718	245398	95906
719	245739	95565
720	246082	95224
721	246423	94883
722	246766	94542
723	247110	94202
724	247472	93868
725	247805	93524
726	248139	93180
727	248475	92837
728	248811	92493
729	249158	92154
730	249498	91812
731	249832	91468
732	250168	91125
733	250509	90784
734	250844	90440
735	251174	90095
736	251509	89751
737	251846	89408
738	252183	89066
739	252526	88725
740	252873	88386
741	253211	88043
742	253556	87704
743	253943	87378
744	254327	87051
745	254701	86721
746	255041	86379
747	255388	86040
748	255756	85707
749	256101	85367
750	256463	85032
751	256813	84693
752	257182	84361
753	257526	84020
754	257872	83680
755	258228	83343
756	258557	82997
757	258890	82653
758	259221	82308
759	259563	81967
760	259914	81628
761	260254	81286
762	260591	80943
763	260937	80603
764	261270	80259
765	261594	79912
766	261921	79566
767	262269	79227
768	262621	78888
769	262960	78546
770	263314	78208
771	263655	77867
772	263998	77526
773	264340	77184
774	264667	76838
775	265010	76497
776	265343	76153
777	265684	75812
778	266014	75467
779	266356	75126
780	266688	74782
781	267019	74437
782	267350	74093
783	267706	73755
784	268045	73413
785	268374	73068
786	268710	72726
787	269054	72385
788	269419	72050
789	269748	71705
790	270087	71363
791	270429	71021
792	270772	70680
793	271105	70337
794	271447	69995
795	271801	69657
796	272154	69319
797	272497	68978
798	272830	68634
799	273182	68295
800	273520	67953
801	273858	67611
802	274258	67283
803	274589	66939
804	274909	66592
805	275234	66247
806	275576	65906
807	275936	65568
808	276295	65231
809	276641	64891
810	276981	64549
811	277321	64207
812	277664	63866
813	278009	63525
814	278341	63181
815	278669	62837
816	279025	62499
817	279405	62166
818	279744	61823
819	280100	61485
820	280444	61144
821	280807	60807
822	281158	60467
823	281507	60127
824	281839	59784
825	282194	59445
826	282547	59105
827	282880	58762
828	283214	58419
829	283567	58080
830	283909	57738
831	284246	57395
832	284578	57052
833	284923	56711
834	285248	56366
835	285584	56023
836	285922	55681
837	286260	55339
838	286607	54998
839	286958	54658
840	287313	54319
841	287648	53976
842	287997	53636
843	288352	53297
844	288672	52951
845	289010	52609
846	289341	52265
847	289688	51925
848	290014	51580
849	290409	51248
850	290759	50908
851	291096	50566
852	291450	50226
853	291797	49885
854	292155	49546
855	292493	49204
856	292824	48861
857	293168	48519
858	293510	48178
859	293850	47836
860	294188	47493
861	294531	47152
862	294858	46808
863	295182	46463
864	295515	46120
865	295851	45778
866	296188	45436
867	296530	45094
868	296880	44754
869	297217	44411
870	297567	44071
871	297910	43729
872	298238	43386
873	298586	43045
874	299049	42721
875	299390	42379
876	299766	42042
877	300111	41701
878	300443	41357
879	300779	41015
880	301116	40673
881	301434	40328
882	301756	39983
883	302076	39638
884	302405	39295
885	302734	38952
886	303054	38607
887	303388	38265
888	303702	37920
889	304028	37576
890	304373	37235
891	304688	36890
892	305017	36547
893	305360	36206
894	305691	35863
895	306033	35521
896	306378	35180
897	306699	34836
898	307032	34494
899	307358	34150
900	307701	33809
901	308024	33466
902	308349	33122
903	308678	32780
904	309013	32437
905	309348	32095
906	309677	31753
907	309982	31407
908	310305	31064
909	310622	30720
910	310953	30378
911	311291	30036
912	311685	29700
913	312017	29358
914	312336	29014
915	312679	28673
916	313039	28333
917	313424	27996
918	313781	27656
919	314168	27318
920	314538	26979
921	314920	26641
922	315286	26302
923	315684	25965
924	316043	25625
925	316371	25282
926	316703	24939
927	317036	24597
928	317365	24255
929	317691	23912
930	318021	23569
931	318401	23231
932	318911	22901
933	319299	22562
934	319702	22225
935	320046	21883
936	320390	21541
937	320750	21200
938	321119	20860
939	321504	20521
940	321858	20180
941	322193	19837
942	322536	19495
943	322855	19152
944	323193	18810
945	323516	18467
946	323836	18123
947	324153	17780
948	324486	17438
949	324814	17095
950	325154	16753
951	325471	16410
952	325787	16067
953	326106	15724
954	326454	15382
955	326762	15039
956	327097	14697
957	327427	14354
958	327746	14012
959	328081	13670
960	328419	13328
961	328759	12986
962	329076	12643
963	329407	12301
964	329751	11959
965	330103	11618
966	330454	11277
967	330794	10935
968	331183	10595
969	331550	10254
970	331909	9912
971	332285	9572
972	332747	9233
973	333180	8893
974	333584	8553
975	333915	8211
976	334299	7869
977	334645	7527
978	335029	7186
979	335437	6845
980	335774	6503
981	336107	6160
982	336458	5818
983	336799	5476
984	337150	5134
985	337498	4792
986	337836	4449
987	338165	4107
988	338493	3764
989	338814	3422
990	339163	3080
991	339518	2738
992	339868	2395
993	340190	2053
994	340524	1711
995	340856	1368
996	341193	1026
997	341531	684
998	341866	342
999	342190	0
