iter	MultiClass
0	3.199692511
1	2.99359279
2	2.817326507
3	2.672090702
4	2.554108931
5	2.460104331
6	2.36067596
7	2.277723453
8	2.208362336
9	2.128217812
10	2.069537302
11	2.018639158
12	1.975301174
13	1.925625523
14	1.886615394
15	1.847299193
16	1.808088602
17	1.778696798
18	1.748587651
19	1.717413976
20	1.692205434
21	1.663135335
22	1.63524998
23	1.609951741
24	1.597002959
25	1.571505633
26	1.547606789
27	1.526147442
28	1.508795759
29	1.48536903
30	1.467172056
31	1.450252987
32	1.432614678
33	1.415379709
34	1.401107628
35	1.389220892
36	1.375350779
37	1.36149554
38	1.347015302
39	1.330277258
40	1.317645553
41	1.304293248
42	1.292946543
43	1.278789331
44	1.266681119
45	1.255489582
46	1.246548917
47	1.233498067
48	1.222122504
49	1.214042561
50	1.203405122
51	1.193385287
52	1.184860913
53	1.175275507
54	1.167920837
55	1.160386626
56	1.153926839
57	1.143650531
58	1.136783431
59	1.127352331
60	1.11704927
61	1.110286103
62	1.103084179
63	1.094982639
64	1.086677011
65	1.082335244
66	1.07450832
67	1.0661038
68	1.060841663
69	1.056122726
70	1.052045621
71	1.045426929
72	1.039741942
73	1.035633544
74	1.03146916
75	1.026967221
76	1.021545357
77	1.01726266
78	1.012941608
79	1.006984602
80	1.002663205
81	0.9972178837
82	0.9904646233
83	0.9853094148
84	0.9810692449
85	0.9741948052
86	0.9696177446
87	0.9644563645
88	0.9586137604
89	0.9527571839
90	0.9475528769
91	0.9430953502
92	0.937059141
93	0.9324242465
94	0.9300508509
95	0.9250864298
96	0.9219408638
97	0.916739821
98	0.9136184914
99	0.9062571028
100	0.9022757569
101	0.8959071314
102	0.8941993621
103	0.8909454475
104	0.8864602892
105	0.8846545878
106	0.8820597854
107	0.8771530834
108	0.8733211925
109	0.8704524613
110	0.8645702399
111	0.8593786898
112	0.8568472666
113	0.8532204733
114	0.848293016
115	0.8425034714
116	0.8382281326
117	0.8346102428
118	0.8308512967
119	0.8273346685
120	0.8261752384
121	0.8232228943
122	0.8203368581
123	0.8176732419
124	0.8134412668
125	0.811357039
126	0.8089865544
127	0.805289313
128	0.8029326144
129	0.8000875804
130	0.79769478
131	0.7943615873
132	0.7908375872
133	0.7864626433
134	0.7835414578
135	0.7817611451
136	0.7799219425
137	0.7760573811
138	0.7721206223
139	0.7692550892
140	0.7670179468
141	0.7629870813
142	0.76088168
143	0.7590631772
144	0.7559994769
145	0.7547359988
146	0.7513304069
147	0.748436416
148	0.7465195631
149	0.7434596136
150	0.7403724419
151	0.7366551495
152	0.7352001392
153	0.7331162991
154	0.7309974564
155	0.728015907
156	0.7243412145
157	0.7213496725
158	0.7197925948
159	0.717797354
160	0.7147985208
161	0.7114022549
162	0.7090769465
163	0.7068695907
164	0.7052284612
165	0.7026157059
166	0.7015026637
167	0.698348573
168	0.6960764616
169	0.6942506148
170	0.692616445
171	0.6893386428
172	0.6857529043
173	0.6841850343
174	0.6813716493
175	0.6799663139
176	0.6769575622
177	0.674257808
178	0.6720155637
179	0.6688279609
180	0.6676272068
181	0.6657588472
182	0.6640556368
183	0.6628178112
184	0.6600164882
185	0.6576346957
186	0.6564889682
187	0.6552587765
188	0.6526889264
189	0.6511558448
190	0.650663998
191	0.6472146892
192	0.6448836836
193	0.642593248
194	0.6410387676
195	0.6394413991
196	0.6378326591
197	0.6363849684
198	0.6353661891
199	0.6334761024
200	0.6322695491
201	0.6303470889
202	0.6282796247
203	0.6247277358
204	0.6225405148
205	0.6210597667
206	0.6186231456
207	0.6173325693
208	0.6142247759
209	0.6109007001
210	0.6081931071
211	0.6071725793
212	0.6062711157
213	0.6054095955
214	0.6026553559
215	0.5998658728
216	0.5980221091
217	0.5969575331
218	0.593999169
219	0.5919985667
220	0.5911140365
221	0.5889834437
222	0.5871231033
223	0.585859317
224	0.5842993452
225	0.5823035701
226	0.5799705787
227	0.5785177471
228	0.5759373361
229	0.5737284924
230	0.5725926034
231	0.5722425866
232	0.5706516723
233	0.568207274
234	0.5663282343
235	0.565079015
236	0.5637437111
237	0.5625446509
238	0.5609455593
239	0.559402205
240	0.5579024117
241	0.5557104163
242	0.5545564951
243	0.5531611888
244	0.5519778079
245	0.5492411093
246	0.547603224
247	0.5462645765
248	0.543912348
249	0.5428739785
250	0.5411391956
251	0.5396394502
252	0.5385468196
253	0.5367108837
254	0.534413293
255	0.5332805786
256	0.5307982362
257	0.5292770242
258	0.5270218567
259	0.5255637637
260	0.523790613
261	0.5227425445
262	0.521145812
263	0.5197790885
264	0.5176937121
265	0.516945329
266	0.5152783958
267	0.5134265331
268	0.5119211993
269	0.5102092754
270	0.5091231202
271	0.5084811602
272	0.5075125076
273	0.5055725284
274	0.5042021089
275	0.5029774204
276	0.5018940125
277	0.5010467402
278	0.5000466199
279	0.4991119476
280	0.498410171
281	0.4980104535
282	0.4966332503
283	0.4950046055
284	0.4926738792
285	0.4911142507
286	0.4906137858
287	0.4893893473
288	0.4871236799
289	0.4852361908
290	0.4840667489
291	0.4819316565
292	0.480909922
293	0.480346183
294	0.4790929422
295	0.4776581314
296	0.4770967798
297	0.4762411966
298	0.4747749846
299	0.4733955898
300	0.4724596724
301	0.4712664668
302	0.4704083485
303	0.4695574179
304	0.4676595986
305	0.4672443397
306	0.465847309
307	0.4650233537
308	0.463505669
309	0.4626709487
310	0.4614365124
311	0.4605097073
312	0.4594002472
313	0.4589256457
314	0.4580681857
315	0.4568033933
316	0.45573928
317	0.4551315102
318	0.4544871844
319	0.4537134382
320	0.4517943565
321	0.4503571116
322	0.4486369623
323	0.4480407251
324	0.4468306416
325	0.4455827477
326	0.4447131541
327	0.444032595
328	0.4425006492
329	0.4410942514
330	0.440511753
331	0.4397868456
332	0.4379638647
333	0.4371605588
334	0.436135047
335	0.4352652312
336	0.4342619805
337	0.4333914346
338	0.4324098725
339	0.4314551603
340	0.4307656049
341	0.4299986655
342	0.4283402667
343	0.427497923
344	0.426494941
345	0.425413515
346	0.4248081745
347	0.4236119026
348	0.421887529
349	0.4215552825
350	0.4208363879
351	0.4196589251
352	0.4184218381
353	0.4165893161
354	0.4162335991
355	0.4158632182
356	0.415078374
357	0.4141264099
358	0.4133511086
359	0.4119750191
360	0.4107321334
361	0.4102466016
362	0.4086667198
363	0.4076515592
364	0.4062013106
365	0.4056138512
366	0.4047264728
367	0.4039838696
368	0.4026900692
369	0.4018305851
370	0.4014136838
371	0.3998652957
372	0.398822414
373	0.3982824995
374	0.3972713061
375	0.3966436727
376	0.395926313
377	0.3943637995
378	0.3931924659
379	0.3922876353
380	0.3919788683
381	0.3914441392
382	0.3909265596
383	0.3893824142
384	0.3884047211
385	0.3876978845
386	0.3861303252
387	0.3858607293
388	0.3855183117
389	0.3848667107
390	0.3836407018
391	0.383044491
392	0.3816735207
393	0.380783808
394	0.3798822555
395	0.3795096256
396	0.3786340349
397	0.3781021998
398	0.3776714714
399	0.3768308785
400	0.3758207041
401	0.3748468493
402	0.3745429575
403	0.3737395366
404	0.3727515965
405	0.3715906387
406	0.371211068
407	0.3698510602
408	0.3695591049
